1. open,2. high,3. low,4. close,5. volume
451.6500,452.8300,450.1600,450.3500,66084563
449.5100,451.6700,448.7800,451.0100,69053911
442.6500,449.4500,442.4600,449.1600,83081916
442.2400,443.4000,439.9728,442.7600,61595393
438.6800,441.3000,435.0000,439.9700,102325103
444.6900,445.2200,436.8550,436.8900,88517272
439.2500,443.6700,439.1000,443.0300,68441021
441.1800,441.1800,437.5700,438.1500,65062861
437.5500,440.1100,435.3200,439.3400,68718957
433.3700,437.5700,433.0100,436.5000,98851960
441.1600,441.4300,435.7500,436.2900,95711315
442.4600,444.1800,439.5300,439.6400,80107206
446.2700,446.6400,442.3000,442.8900,75707534
444.7000,448.1100,444.3800,448.1100,47867441
443.9700,446.7007,443.3450,445.6500,68690902
448.1900,451.7000,444.7000,445.9100,93005495
449.0300,449.1999,444.9600,445.7500,78789575
448.0800,450.6952,445.2705,448.7500,71361324
448.7100,450.8650,447.9900,450.7100,58357464
450.7200,452.8950,446.2700,446.8100,100128902
448.0400,450.7900,447.3700,448.8400,64419692
453.2500,453.5200,449.3499,450.1300,93933369
456.2700,457.2500,455.4900,456.4800,55502199
457.4100,458.1600,456.0450,457.7900,62040449
455.8800,457.7800,452.4918,456.9200,80011790
459.0200,459.4400,451.5500,452.4900,92194375
454.4700,456.9900,453.3800,455.5100,71052885
453.9200,456.7350,453.8700,455.4400,55191240
453.3700,455.0400,452.2980,454.2000,54023382
453.9600,454.1650,452.1700,452.1800,71275618
454.1700,455.1000,451.4400,452.1800,70591642
455.0100,456.4300,454.1119,455.2000,65891688
450.5000,454.8600,450.0484,454.1900,80744448
449.1300,451.9300,449.0800,450.8400,52680221
450.4750,451.3600,448.4900,449.2800,69815823
447.9000,450.3800,447.4500,449.5600,72425241
446.3900,447.4799,444.9100,446.0200,91924527
440.4500,442.9700,439.4400,442.4600,64463752
438.1800,439.8400,437.5850,439.6600,62443501
438.6300,442.6400,438.3000,438.5500,86134178
439.4200,440.1000,437.0600,439.6600,80658302
441.9100,443.8890,441.9000,443.1300,58418432
442.9200,444.0800,442.6300,443.7900,32793378
441.4400,444.3000,441.1100,443.2800,104964019
435.9600,438.2800,435.5400,438.1100,67882304
435.0500,437.4400,434.4100,436.3900,75635976
432.3500,436.8100,431.8800,436.1700,72813699
432.6200,434.6100,431.1900,431.4400,72823560
432.9300,435.0600,432.4700,433.2100,92074537
433.9500,436.6200,433.6000,436.5100,70637175
436.1600,436.9900,434.3300,434.9400,76982251
437.4500,438.3700,435.0300,437.1800,76160359
443.0200,443.6078,438.9700,439.4600,114165849
436.3300,443.9000,436.2300,442.6000,110303091
437.0100,439.0612,433.5900,437.1800,100612080
435.3200,437.3300,434.6300,436.6600,95899704
430.9200,433.8800,430.1700,433.8000,76256703
429.9600,431.9900,428.8700,429.9000,85647268
426.6200,429.6000,425.8200,429.1300,61952842
428.4400,429.6200,426.1100,426.5500,85373275
426.6700,428.5772,425.9900,428.0300,64022175
428.2800,429.6200,426.3700,427.1000,65460158
424.5000,428.7400,423.9500,427.9200,91426171
418.0900,422.9200,416.7900,421.8200,88865018
418.2800,419.2200,416.2200,417.8500,106350372
422.0300,422.5800,418.7350,420.1800,72215960
415.3300,420.7700,415.2500,420.0200,93829975
414.7400,416.1600,412.4101,414.6500,90961606
412.4200,412.8200,409.8795,411.0900,89213678
417.0800,418.7220,413.6800,414.0900,86383493
418.6400,420.3900,417.3500,418.7900,60745399
420.1700,420.7200,417.3500,418.6200,103793317
414.9000,419.6700,414.6700,419.2300,97177195
412.3500,415.8550,410.6350,415.2300,87286957
411.8600,412.8150,410.2400,410.2500,57705495
